Date,LUV
2020-01-01,462.77645537557385
2020-01-02,452.21564803702773
2020-01-03,454.57015133514085
2020-01-06,451.9420301739028
2020-01-07,473.60387388736723
2020-01-08,462.3286532590447
2020-01-09,464.8491198634655
2020-01-10,450.9026225101956
2020-01-13,452.84223794258565
2020-01-14,468.70411529806785
2020-01-15,467.3192193941351
2020-01-16,462.23561891533785
2020-01-17,461.7197199999535
2020-01-20,466.0807705993556
2020-01-21,474.88829042662
2020-01-22,473.623130240195
2020-01-23,470.63105733408594
2020-01-24,469.94869502312577
2020-01-27,465.3930141658213
2020-01-28,470.2669182521834
2020-01-29,459.269584249254
2020-01-30,455.92346836149284
2020-01-31,466.46267832571425
2020-02-03,456.5827273590646
2020-02-04,488.9532134670936
2020-02-05,487.9134225030575
2020-02-06,510.61918707219155
2020-02-07,525.9933222343591
2020-02-10,524.049916491536
2020-02-11,529.0628388411761
2020-02-12,521.2973557277904
2020-02-13,529.2514967321365
2020-02-14,519.4279322556991
2020-02-17,507.3787276050617
2020-02-18,520.9065465915729
2020-02-19,513.1752425588109
2020-02-20,496.9606319635661
2020-02-21,503.74267440004905
2020-02-24,490.34250551488947
2020-02-25,476.2548891439156
2020-02-26,467.6771732352518
2020-02-27,464.7384572343089
2020-02-28,473.9639328769218
2020-03-02,469.52818308353244
2020-03-03,468.22121710760274
2020-03-04,468.604005832979
2020-03-05,452.14985694585755
2020-03-06,431.10264964939915
2020-03-09,438.2724002348559
2020-03-10,433.270861684941
2020-03-11,439.4141566296354
2020-03-12,438.05218991473885
2020-03-13,435.45452034063413
2020-03-16,422.7666631952251
2020-03-17,443.31124721076844
2020-03-18,437.91009879221355
2020-03-19,440.70639323880334
2020-03-20,437.17278941940015
2020-03-23,455.41252436453493
2020-03-24,433.6842966437659
2020-03-25,423.40897849232937
2020-03-26,426.86491044971746
2020-03-27,428.8287357813921
2020-03-30,425.1669143262283
2020-03-31,433.0054869160495
2020-04-01,429.4903033018645
2020-04-02,445.14577178107345
2020-04-03,453.5477028334341
2020-04-06,455.1671817239021
2020-04-07,462.70658622147175
2020-04-08,482.69087822899604
2020-04-09,483.5298068020687
2020-04-10,491.83859015301607
2020-04-13,498.3616161761394
2020-04-14,487.3581037077962
2020-04-15,495.01628883191466
2020-04-16,505.10908239468733
2020-04-17,503.0253444539797
2020-04-20,473.48213606226545
2020-04-21,463.24022691162014
2020-04-22,482.9985728333884
2020-04-23,476.5399631262589
2020-04-24,456.4452803840231
2020-04-27,465.76228055624046
2020-04-28,469.4106154899171
2020-04-29,486.50473252425763
2020-04-30,495.70182410403686
2020-05-01,488.61569058088304
2020-05-04,500.18391313812515
2020-05-05,500.5111184742316
2020-05-06,511.09810242642936
2020-05-07,507.8601077265789
2020-05-08,518.456469570179
2020-05-11,515.7368522226467
2020-05-12,515.6074471568446
2020-05-13,531.2957960693278
2020-05-14,537.6964189384292
2020-05-15,545.7782343746219
2020-05-18,533.5998416852418
2020-05-19,554.0576363119515
2020-05-20,536.6019351006261
2020-05-21,527.6150693966456
2020-05-22,535.976541287658
2020-05-25,525.3203401247996
2020-05-26,524.0073734841475
2020-05-27,503.48724676950974
2020-05-28,513.3932314119877
2020-05-29,518.123702423916
2020-06-01,541.5181174042992
2020-06-02,544.6360175310455
2020-06-03,537.4289575681071
2020-06-04,518.3271629262465
2020-06-05,502.65911254041526
2020-06-08,510.0623508060092
2020-06-09,513.9138479126493
2020-06-10,518.5332018201111
2020-06-11,539.2148939990095
2020-06-12,542.7637030484664
2020-06-15,544.5151466380048
2020-06-16,547.0145192826925
2020-06-17,541.7534023056644
2020-06-18,541.2983580559037
2020-06-19,537.1313195880746
2020-06-22,519.0333597761274
2020-06-23,526.0262844033656
2020-06-24,514.83947398174
2020-06-25,515.9453285753567
2020-06-26,518.6143497629297
2020-06-29,528.7273969488906
2020-06-30,522.247299042741
2020-07-01,534.9451383694301
2020-07-02,552.6206992490064
2020-07-03,561.6839476463167
2020-07-06,572.0591553272852
2020-07-07,594.4795746453835
2020-07-08,587.2856817231778
2020-07-09,570.275486167596
2020-07-10,575.2424470711635
2020-07-13,585.0640760019594
2020-07-14,585.0334980898951
2020-07-15,581.1029760622577
2020-07-16,591.1473520965797
2020-07-17,592.7106876346131
2020-07-20,581.5791623807477
2020-07-21,570.4489449477506
2020-07-22,584.3105306939428
2020-07-23,603.4363112639604
2020-07-24,590.7386075815251
2020-07-27,617.9744993479704
2020-07-28,612.178696884206
2020-07-29,586.3961379309309
2020-07-30,598.9615143721375
2020-07-31,596.8682405262878
2020-08-03,609.0059025269835
2020-08-04,588.5877301018156
2020-08-05,579.2756176873467
2020-08-06,576.3595521196115
2020-08-07,559.8991365964362
2020-08-10,541.3759132902308
2020-08-11,543.5398772013733
2020-08-12,542.3894052288802
2020-08-13,528.9048039782864
2020-08-14,542.1024012522056
2020-08-17,542.7727852658852
2020-08-18,548.7158234128848
2020-08-19,532.4657560896043
2020-08-20,544.5829642346148
2020-08-21,501.7581760986839
2020-08-24,523.4412964576378
2020-08-25,507.51527005174864
2020-08-26,506.52587825117723
2020-08-27,522.8725640146406
2020-08-28,522.290277661494
2020-08-31,510.48497070143725
2020-09-01,517.1159814177792
2020-09-02,492.38763791810015
2020-09-03,471.3329837280549
2020-09-04,477.891047555366
2020-09-07,462.9873867931722
2020-09-08,462.9083463470317
2020-09-09,460.6454916900033
2020-09-10,467.72757710227324
2020-09-11,457.0861933087573
2020-09-14,448.8715951053025
2020-09-15,456.693257803084
2020-09-16,452.8016873828273
2020-09-17,451.7527986637254
2020-09-18,429.27512223925817
2020-09-21,422.85908385664874
2020-09-22,437.3910706793823
2020-09-23,438.15366201977076
2020-09-24,414.88235399910695
2020-09-25,413.29357444831805
2020-09-28,413.36782245320455
2020-09-29,413.29803687157045
2020-09-30,415.1616529961219
2020-10-01,413.05985661307096
2020-10-02,422.3298700496614
2020-10-05,408.6519870695346
2020-10-06,398.24703543247404
2020-10-07,394.4702833100481
2020-10-08,412.313888185582
2020-10-09,409.88640021792867
2020-10-12,425.2782034630006
2020-10-13,452.22178100977317
2020-10-14,457.0080625087357
2020-10-15,449.1635044785837
2020-10-16,439.2177517842754
2020-10-19,434.7840591713486
2020-10-20,438.4944837981066
2020-10-21,449.60769484920525
2020-10-22,474.43193145228497
2020-10-23,465.1018005014855
2020-10-26,460.7459851577956
2020-10-27,452.25292152642567
2020-10-28,453.9334217104985
2020-10-29,441.3615169902366
2020-10-30,433.304149945743
2020-11-02,429.14281825119184
2020-11-03,415.7463490785461
2020-11-04,423.7547318362005
2020-11-05,445.0428496930817
2020-11-06,445.8806970608937
2020-11-09,440.572344340693
2020-11-10,423.8997400676426
2020-11-11,410.52704443804606
2020-11-12,419.75153803951605
2020-11-13,424.82483139270124
2020-11-16,424.9407775643151
2020-11-17,429.16139576127904
2020-11-18,418.3631128819184
2020-11-19,412.35137845320264
2020-11-20,418.7391814855219
2020-11-23,416.85771105049395
2020-11-24,445.52011235622376
2020-11-25,462.6010651609238
2020-11-26,482.32126460504486
2020-11-27,488.7645016447963
2020-11-30,501.1429071321516
2020-12-01,505.58451795969967
2020-12-02,513.0623798619326
2020-12-03,508.3513058178759
2020-12-04,501.5618930186922
2020-12-07,511.7601295203972
2020-12-08,499.7609210796599
2020-12-09,530.4327158704831
2020-12-10,539.5427117416183
2020-12-11,545.4963860505313
2020-12-14,586.1126163941785
2020-12-15,577.0581841462542
2020-12-16,583.6640562037087
2020-12-17,595.7510016525611
2020-12-18,598.6108527730756
2020-12-21,635.2203197595844
2020-12-22,634.7660831777667
2020-12-23,642.4740401718713
2020-12-24,658.2186864561356
2020-12-25,627.1343958260564
2020-12-28,606.8799853644342
2020-12-29,600.1580151291819
2020-12-30,598.7560913645699
2020-12-31,576.6873494769013
2021-01-01,587.7903285187975
2021-01-04,573.5669574030234
2021-01-05,588.8287827215332
2021-01-06,587.0324487378573
2021-01-07,591.1628195800686
2021-01-08,597.1967517998604
2021-01-11,598.8952555213162
2021-01-12,607.301663146635
2021-01-13,592.7874783755574
2021-01-14,604.0521597591711
2021-01-15,609.8783888559759
2021-01-18,604.0310380122379
2021-01-19,597.7101801842272
2021-01-20,593.5978884743847
2021-01-21,582.3837040596785
2021-01-22,584.5181926595187
2021-01-25,561.728868394405
2021-01-26,562.6875103958657
2021-01-27,555.458965539618
2021-01-28,559.1802794113228
2021-01-29,566.5536698930403
2021-02-01,579.4276354661083
2021-02-02,578.815485463684
2021-02-03,581.6243355922549
2021-02-04,591.3205630042543
2021-02-05,600.903337937029
2021-02-08,606.0665484167457
2021-02-09,607.2440176516675
2021-02-10,600.9064828795322
2021-02-11,619.1113256982944
2021-02-12,625.2008681202016
2021-02-15,634.8892740875094
2021-02-16,640.74141336918
2021-02-17,654.7568701680715
2021-02-18,647.1699683352642
2021-02-19,665.7181878719052
2021-02-22,632.9047860271891
2021-02-23,610.4386080462979
2021-02-24,613.8877111582786
2021-02-25,598.4114784549395
2021-02-26,632.3309573099749
2021-03-01,651.7503654672151
2021-03-02,663.8312223981706
2021-03-03,667.3639834772223
2021-03-04,659.611027384971
2021-03-05,647.5551597822711
2021-03-08,646.8271770632294
2021-03-09,626.6831443868039
2021-03-10,648.2551377454962
2021-03-11,640.8153347147683
2021-03-12,655.8878495814452
2021-03-15,670.577215866575
2021-03-16,661.6904524608175
2021-03-17,635.5521835194324
2021-03-18,637.170504511346
2021-03-19,665.3825314370852
2021-03-22,653.6482926745184
2021-03-23,654.5931454862464
