Date,BLK
2020-01-01,241.9742785778652
2020-01-02,250.30213699177096
2020-01-03,247.45658440877085
2020-01-06,246.05843919907014
2020-01-07,251.7233748518575
2020-01-08,251.33606574622064
2020-01-09,252.58650069219698
2020-01-10,249.09463153143787
2020-01-13,250.22861124386273
2020-01-14,246.46719241599462
2020-01-15,249.2073896789749
2020-01-16,243.6733101431339
2020-01-17,242.15488868760272
2020-01-20,244.01214348114488
2020-01-21,246.6796932603415
2020-01-22,249.47589871605598
2020-01-23,246.84423388568433
2020-01-24,260.06414959398944
2020-01-27,252.54600482544308
2020-01-28,255.52716657210422
2020-01-29,261.1280184398342
2020-01-30,258.87339535925497
2020-01-31,262.0606930073665
2020-02-03,260.35865385099083
2020-02-04,256.6746517468207
2020-02-05,250.17384034633
2020-02-06,248.82232502005058
2020-02-07,247.1617984286479
2020-02-10,240.10771840759898
2020-02-11,247.35311287542262
2020-02-12,249.11378560710824
2020-02-13,250.7899661794388
2020-02-14,247.84302621690918
2020-02-17,238.48837716396517
2020-02-18,236.90631296773208
2020-02-19,242.40539846204445
2020-02-20,241.93562677768975
2020-02-21,233.56994884946445
2020-02-24,236.30087309258772
2020-02-25,237.60971123880884
2020-02-26,246.82122204029062
2020-02-27,249.99662963652227
2020-02-28,243.32173382148721
2020-03-02,239.18817122704513
2020-03-03,241.10191443959297
2020-03-04,243.72473388543796
2020-03-05,247.27219745045562
2020-03-06,244.31089920882079
2020-03-09,243.10005436131897
2020-03-10,240.47236857431506
2020-03-11,240.28570062945982
2020-03-12,245.35491878316998
2020-03-13,242.21711274601932
2020-03-16,244.02366657165268
2020-03-17,244.64776937431887
2020-03-18,246.0051522504968
2020-03-19,241.11067007766184
2020-03-20,240.73300215750146
2020-03-23,243.17902856053922
2020-03-24,240.13764972524342
2020-03-25,236.9453825859461
2020-03-26,232.5402776514805
2020-03-27,232.4054766936283
2020-03-30,235.55568089493954
2020-03-31,225.84109750130503
2020-04-01,222.4689736691365
2020-04-02,227.74997658588293
2020-04-03,231.33099097604625
2020-04-06,228.2607047171024
2020-04-07,233.39565662161868
2020-04-08,240.05096144672487
2020-04-09,245.14743930182658
2020-04-10,237.99086697191703
2020-04-13,233.14610217068557
2020-04-14,234.66908857130662
2020-04-15,234.74134016733734
2020-04-16,238.5644208818157
2020-04-17,239.417340817337
2020-04-20,242.50196789133796
2020-04-21,241.9322134746375
2020-04-22,246.5373871584982
2020-04-23,248.2855653591099
2020-04-24,251.16947496208294
2020-04-27,249.0666559104022
2020-04-28,253.51661137257565
2020-04-29,247.00588940655078
2020-04-30,244.70788165802125
2020-05-01,242.13919500766644
2020-05-04,233.41506783056775
2020-05-05,233.9015367464595
2020-05-06,235.19157882764347
2020-05-07,237.22681765228666
2020-05-08,233.16891075426653
2020-05-11,236.5057220191037
2020-05-12,232.15252180781928
2020-05-13,224.75425697289714
2020-05-14,220.33683036139385
2020-05-15,223.54608840569514
2020-05-18,228.0781297479767
2020-05-19,228.88561311721185
2020-05-20,228.85792631305267
2020-05-21,230.53108343026528
2020-05-22,227.21003725816965
2020-05-25,228.10348991140174
2020-05-26,218.5016044513632
2020-05-27,227.22446506522064
2020-05-28,220.326132301201
2020-05-29,221.61117781907166
2020-06-01,219.70568941655307
2020-06-02,220.70055357711
2020-06-03,216.56169608595368
2020-06-04,212.38951191586514
2020-06-05,213.13514580923808
2020-06-08,220.0747513105039
2020-06-09,222.0273036206449
2020-06-10,222.9992394971406
2020-06-11,218.98583112912425
2020-06-12,214.90677873839914
2020-06-15,215.87179660654886
2020-06-16,219.71048423577952
2020-06-17,220.29983413335918
2020-06-18,223.96738036434775
2020-06-19,221.66207572142787
2020-06-22,223.4664542187459
2020-06-23,224.66643619245252
2020-06-24,216.05419438596954
2020-06-25,221.01862922411698
2020-06-26,217.8966740790286
2020-06-29,213.5861934003567
2020-06-30,210.32223929694263
2020-07-01,202.9829770395609
2020-07-02,210.773857760079
2020-07-03,206.4843420384469
2020-07-06,201.15369821799916
2020-07-07,199.18865454527133
2020-07-08,201.0404221427788
2020-07-09,194.9816688305966
2020-07-10,193.56762418985576
2020-07-13,189.13418530121672
2020-07-14,185.7263313326383
2020-07-15,183.69623378796368
2020-07-16,184.73366864480963
2020-07-17,183.6445111349147
2020-07-20,184.82455415523944
2020-07-21,184.4769966050841
2020-07-22,188.83521372524254
2020-07-23,193.51723967278488
2020-07-24,192.0991662169923
2020-07-27,188.9668990672169
2020-07-28,189.87968762637
2020-07-29,194.52186716882198
2020-07-30,194.9632207387226
2020-07-31,196.90417715269766
2020-08-03,195.1368527585233
2020-08-04,192.983671296457
2020-08-05,192.85032490616024
2020-08-06,191.1203908652134
2020-08-07,196.47878316760153
2020-08-10,197.56459062605532
2020-08-11,199.39202256714273
2020-08-12,194.47953224446061
2020-08-13,203.5771335261511
2020-08-14,204.87263162604447
