Date,AMD
2020-01-01,59.11434746196414
2020-01-02,59.968054665700286
2020-01-03,59.018846588328024
2020-01-06,58.45622615018893
2020-01-07,59.79863368667589
2020-01-08,61.71509900442591
2020-01-09,60.85899571272146
2020-01-10,61.174471474742035
2020-01-13,59.51159083101566
2020-01-14,60.3544561751656
2020-01-15,62.173230306914846
2020-01-16,62.33607088630308
2020-01-17,60.54334135002734
2020-01-20,58.383341019724135
2020-01-21,59.809487608321945
2020-01-22,60.94714189167391
2020-01-23,61.68908379005858
2020-01-24,60.87241814408637
2020-01-27,58.37706401497776
2020-01-28,58.103354889400734
2020-01-29,60.10640580932748
2020-01-30,64.65648583313205
2020-01-31,63.9035785703061
2020-02-03,63.67243671287577
2020-02-04,61.221812774458286
2020-02-05,61.06057504717227
2020-02-06,63.52347614745288
2020-02-07,61.11129838693307
2020-02-10,64.79366431031124
2020-02-11,61.3616634294197
2020-02-12,62.56103604632175
2020-02-13,63.490377255717256
2020-02-14,64.33896084644903
2020-02-17,66.18810289202318
2020-02-18,64.1785754220626
2020-02-19,62.28048763812049
2020-02-20,62.30871789706654
2020-02-21,60.57571190194069
2020-02-24,59.612979698030564
2020-02-25,59.679234477857065
2020-02-26,61.27568815551208
2020-02-27,59.54544220688885
2020-02-28,62.59528408000964
2020-03-02,62.56167315335897
2020-03-03,66.70079734011878
2020-03-04,64.8961126310897
2020-03-05,64.8329619597969
2020-03-06,61.31505167602516
2020-03-09,60.22082712471887
2020-03-10,59.15899570625302
2020-03-11,61.20946234309383
2020-03-12,59.0044085255229
2020-03-13,58.65115294370768
2020-03-16,58.544239336356654
2020-03-17,61.74650773505007
2020-03-18,62.18135756758631
2020-03-19,60.38547387425171
2020-03-20,60.697586763061835
2020-03-23,59.49982266791417
2020-03-24,61.09378725354079
2020-03-25,61.41528636000132
2020-03-26,59.73335200673007
2020-03-27,58.52623270120695
2020-03-30,58.81350435707559
2020-03-31,60.31855224849159
2020-04-01,61.1615596103492
2020-04-02,64.5021397486302
2020-04-03,64.23216815094032
2020-04-06,64.67703397578522
2020-04-07,63.60721708606177
2020-04-08,62.479307030871084
2020-04-09,62.549071386761234
2020-04-10,61.49509618487972
2020-04-13,62.0658651447509
2020-04-14,58.788338411669294
2020-04-15,59.0948456195037
2020-04-16,58.48727232335716
2020-04-17,60.35797280661498
2020-04-20,62.43211857495848
2020-04-21,62.35167856962632
2020-04-22,62.69460366123537
2020-04-23,64.10886959448561
2020-04-24,62.83677105395809
2020-04-27,63.28262095914413
2020-04-28,64.25639528755366
2020-04-29,67.55505507963596
2020-04-30,63.70796908044108
2020-05-01,63.21997663591192
2020-05-04,60.87382860381427
2020-05-05,62.122552934923505
2020-05-06,67.24996176589578
2020-05-07,68.17149243584191
2020-05-08,66.00150128664801
2020-05-11,61.63570566804827
2020-05-12,62.209916830962655
2020-05-13,60.36567800509007
2020-05-14,58.45022743064186
2020-05-15,57.06438243303945
2020-05-18,59.44026435299579
2020-05-19,62.18035625044999
2020-05-20,62.06067215884
2020-05-21,61.60718982336402
2020-05-22,60.226894047383254
2020-05-25,59.06903891781405
2020-05-26,60.43486341970292
2020-05-27,59.24101125206187
2020-05-28,59.12606316958555
2020-05-29,60.73859396466536
2020-06-01,60.374337927014736
2020-06-02,60.5199161552021
2020-06-03,60.999369426103364
2020-06-04,58.36234770090955
2020-06-05,57.18333025685527
2020-06-08,57.508868715757266
2020-06-09,59.49881606365284
