Date,TFC
2020-01-01,489.5142523285321
2020-01-02,494.68253432724674
2020-01-03,490.0252839635065
2020-01-06,492.0928528982724
2020-01-07,491.72791859160304
2020-01-08,485.86506345142396
2020-01-09,478.55021418835753
2020-01-10,488.3375340270252
2020-01-13,475.01113465226933
2020-01-14,490.9874885762539
2020-01-15,489.40966418914985
2020-01-16,501.73860122497393
2020-01-17,491.53540655992066
2020-01-20,500.5847293809174
2020-01-21,504.6900497721108
2020-01-22,497.85726994668016
2020-01-23,495.4758344336354
2020-01-24,508.98252343441777
2020-01-27,505.76405828178156
2020-01-28,509.89276661668913
2020-01-29,503.61884138164027
2020-01-30,503.5330768280687
2020-01-31,498.1461118876028
2020-02-03,509.93913282664096
2020-02-04,504.0622562166077
2020-02-05,506.3842114447036
2020-02-06,496.37390650244026
2020-02-07,502.9787453983881
2020-02-10,507.76379799623834
2020-02-11,505.8690005473676
2020-02-12,505.2147653912825
2020-02-13,513.1884142242986
2020-02-14,512.9534517480432
2020-02-17,503.3353606944162
2020-02-18,499.8381754590609
2020-02-19,499.1975052043464
2020-02-20,516.4007954485626
2020-02-21,530.5453910746484
2020-02-24,548.4168332034685
2020-02-25,556.4272365836337
2020-02-26,538.1325596880966
2020-02-27,540.8027043490417
2020-02-28,563.1191521801723
2020-03-02,579.0926860519905
2020-03-03,578.2947432146692
2020-03-04,577.7703214562727
2020-03-05,596.1622930904543
2020-03-06,600.4809287590797
2020-03-09,615.5885257987892
2020-03-10,612.0887285496708
2020-03-11,616.8303166287835
2020-03-12,634.667306483171
2020-03-13,632.6649655233548
2020-03-16,629.0474424505993
2020-03-17,634.4924914294148
2020-03-18,615.2531600600174
2020-03-19,614.2333840096513
2020-03-20,592.8103911404309
2020-03-23,606.2179781470218
2020-03-24,632.1225457439393
2020-03-25,635.9483283369038
2020-03-26,659.734120569315
2020-03-27,666.8599722881181
2020-03-30,666.6653946569016
2020-03-31,686.3786303714722
2020-04-01,687.2178085657312
2020-04-02,696.3527523073647
2020-04-03,687.2615295631888
2020-04-06,675.9002214147218
2020-04-07,660.7991793300324
2020-04-08,657.9530562219988
2020-04-09,647.9979298318013
2020-04-10,638.9625324831261
2020-04-13,665.6760082978897
2020-04-14,659.2792840692968
2020-04-15,660.4930919882441
2020-04-16,639.7386086030293
2020-04-17,622.4248458464647
2020-04-20,623.6647482531661
2020-04-21,638.0491925219885
2020-04-22,651.4722836541681
2020-04-23,662.2696311554117
2020-04-24,662.899669626648
2020-04-27,664.6650039459591
2020-04-28,664.705197118524
2020-04-29,686.3279443869749
2020-04-30,695.4525748291846
2020-05-01,706.9460267445281
2020-05-04,707.8143953002808
2020-05-05,690.5722367930334
2020-05-06,662.4351706309436
2020-05-07,660.8547211502495
2020-05-08,679.8829374622593
2020-05-11,679.972074431367
2020-05-12,689.5826873467861
2020-05-13,668.8950156660056
2020-05-14,643.7419042798218
2020-05-15,644.7579996059917
2020-05-18,633.6177380595781
2020-05-19,642.8766637798885
2020-05-20,639.7207824937769
2020-05-21,614.2626662493225
2020-05-22,594.721923904265
2020-05-25,603.5440736587387
2020-05-26,581.6585707346953
2020-05-27,594.7988059926463
2020-05-28,571.9558778090354
2020-05-29,581.2565926697931
2020-06-01,578.8853327447295
2020-06-02,575.3138268882492
