Date,HLT
2020-01-01,95.6450834117672
2020-01-02,94.31699970217532
2020-01-03,97.41267966079184
2020-01-06,94.40652719380127
2020-01-07,94.48123045243085
2020-01-08,99.51563699978796
2020-01-09,98.16820324456019
2020-01-10,101.5000701824403
2020-01-13,98.53162899135035
2020-01-14,92.18196855265742
2020-01-15,89.40681588616188
2020-01-16,92.80414206070792
2020-01-17,91.63472219499717
2020-01-20,94.80588877413756
2020-01-21,91.7025460780057
2020-01-22,92.7704305925796
2020-01-23,93.65072862296599
2020-01-24,93.37367710828848
2020-01-27,97.02610658349597
2020-01-28,96.35593841382823
2020-01-29,103.92726417500911
2020-01-30,106.88984254676464
2020-01-31,109.40822689423618
2020-02-03,109.58788869302055
2020-02-04,108.5535252790571
2020-02-05,109.33613055403994
2020-02-06,113.49825504196153
2020-02-07,109.04156541839458
2020-02-10,107.36520044587247
2020-02-11,106.52319977923963
2020-02-12,108.19574993074248
2020-02-13,108.94475983857282
2020-02-14,105.31440880323234
2020-02-17,108.18723506177089
2020-02-18,110.96774824226206
2020-02-19,108.56223982535948
2020-02-20,114.55801279015391
2020-02-21,112.955678155569
2020-02-24,107.18722563848986
2020-02-25,108.57522354079678
2020-02-26,108.32847429802001
2020-02-27,111.55681023667873
2020-02-28,111.30842993911818
2020-03-02,103.0552702978214
2020-03-03,106.91642708396265
2020-03-04,110.80114663537366
2020-03-05,105.45533854673397
2020-03-06,105.30392066246056
2020-03-09,101.84405116872124
2020-03-10,101.9522828090951
2020-03-11,99.27458986522002
2020-03-12,102.7937154000928
2020-03-13,105.06748610055061
2020-03-16,103.55354528765125
2020-03-17,99.81366302365032
2020-03-18,102.31674344816238
2020-03-19,98.9928838937851
2020-03-20,99.19159633145401
2020-03-23,96.95544135839447
2020-03-24,97.21612361306087
2020-03-25,102.14826543740368
2020-03-26,102.80485935881708
2020-03-27,100.68216295849246
2020-03-30,100.98229843015045
2020-03-31,102.62249646648884
2020-04-01,99.4193412986799
2020-04-02,103.68105031835871
2020-04-03,107.01546749905786
2020-04-06,107.05882875397
2020-04-07,108.476893357322
2020-04-08,105.25376909500189
2020-04-09,104.63704345468658
2020-04-10,106.48840675868219
2020-04-13,113.3049087254801
2020-04-14,102.8911732704113
2020-04-15,103.36704651845142
2020-04-16,109.92254895328773
2020-04-17,111.90088772046192
2020-04-20,108.74503721101402
2020-04-21,107.84787842158639
2020-04-22,107.30966906443182
2020-04-23,107.74898847533203
2020-04-24,106.47180364406871
2020-04-27,110.53602516213644
2020-04-28,110.87991691817507
2020-04-29,110.86138315606561
2020-04-30,107.45551690966693
2020-05-01,106.64319544966956
2020-05-04,105.82214809306656
2020-05-05,108.89217114882304
2020-05-06,106.12226798661985
2020-05-07,107.1596346033601
2020-05-08,111.13789400552268
2020-05-11,112.00160487972272
2020-05-12,107.50030650689192
2020-05-13,108.21555640128975
2020-05-14,107.35388843928834
2020-05-15,98.8573376511653
2020-05-18,97.4701222010457
2020-05-19,95.25470292472932
2020-05-20,94.37149136824887
2020-05-21,95.55698522290429
2020-05-22,97.09749273356276
2020-05-25,98.92085866774991
2020-05-26,98.61442317806625
2020-05-27,100.09474878933418
2020-05-28,103.83913940327972
2020-05-29,98.96368522271696
2020-06-01,91.07187710052014
2020-06-02,89.65383162944389
2020-06-03,92.67188312915819
2020-06-04,92.27220060727255
2020-06-05,92.79152567165424
2020-06-08,94.66769640603094
2020-06-09,100.53983192292279
2020-06-10,94.72118563338647
2020-06-11,93.12210776738654
2020-06-12,93.8786814559203
2020-06-15,93.98126343690471
2020-06-16,93.83343031025676
2020-06-17,95.36107741992141
2020-06-18,94.31146292287391
2020-06-19,98.23009581169157
2020-06-22,93.43230770745416
2020-06-23,91.8870938061092
2020-06-24,88.21794776890872
2020-06-25,88.40042152400284
2020-06-26,89.62234345423067
2020-06-29,86.27547418456277
2020-06-30,83.5540649966031
2020-07-01,81.83905273369284
2020-07-02,82.15061639053516
