Date,PG
2020-01-01,285.656579727733
2020-01-02,292.9683933275774
2020-01-03,292.1633712356711
2020-01-06,281.5156683176258
2020-01-07,274.97376892158763
2020-01-08,256.3951105400165
2020-01-09,251.57008296668764
2020-01-10,250.00973503597618
2020-01-13,255.38790299073432
2020-01-14,253.85861309282828
2020-01-15,265.4792709335139
2020-01-16,266.868541975475
2020-01-17,273.574219307213
2020-01-20,262.44021300610785
2020-01-21,262.5099487709581
2020-01-22,256.33468879058574
2020-01-23,245.8022571106021
2020-01-24,251.18058052425053
2020-01-27,239.89030438841112
2020-01-28,245.95205419529725
2020-01-29,237.80365025316345
2020-01-30,247.55315495178138
2020-01-31,250.33119747780358
2020-02-03,246.31100701841132
2020-02-04,242.8276786810737
2020-02-05,248.75326925563488
2020-02-06,254.39407732392363
2020-02-07,252.41680704334837
2020-02-10,256.3692786578752
2020-02-11,253.14443440781451
2020-02-12,258.80328023456605
2020-02-13,258.21526924931476
2020-02-14,274.721831775928
2020-02-17,275.17440805813476
2020-02-18,289.87266359204955
2020-02-19,279.52097230840315
2020-02-20,295.9942828226159
2020-02-21,297.6091180553283
2020-02-24,288.91313845782713
2020-02-25,294.6149682869888
2020-02-26,291.41457049146925
2020-02-27,288.5674728613507
2020-02-28,293.8294843107113
2020-03-02,307.8001221282818
2020-03-03,302.334293305323
2020-03-04,286.41329209390597
2020-03-05,279.1388790496222
2020-03-06,271.1535154248802
2020-03-09,271.8909710074071
2020-03-10,268.1190776344014
2020-03-11,264.82581376154775
2020-03-12,264.46191259296006
2020-03-13,265.86253967853287
2020-03-16,277.3627380909908
2020-03-17,281.7954737378879
2020-03-18,274.3763820193915
2020-03-19,275.2027619604078
2020-03-20,284.4582943862603
2020-03-23,284.6298345907659
2020-03-24,299.82127364597153
2020-03-25,304.926041894633
2020-03-26,303.094198525896
2020-03-27,303.4110418432498
2020-03-30,309.6956985438231
2020-03-31,306.1879161194658
2020-04-01,307.66499128127265
2020-04-02,293.32674225410994
2020-04-03,305.2451971674045
2020-04-06,316.73257568526014
2020-04-07,307.7222360525184
2020-04-08,313.66008039007266
2020-04-09,310.04591697180695
2020-04-10,296.8604648081357
2020-04-13,303.1883074984657
2020-04-14,296.9845882710629
2020-04-15,287.11484995169457
2020-04-16,291.21881145264183
2020-04-17,293.73771312067663
2020-04-20,285.40472669117486
2020-04-21,282.58832027269244
2020-04-22,280.84350680761355
2020-04-23,286.31356221191265
2020-04-24,281.7303036735788
2020-04-27,270.5601174994152
2020-04-28,263.30973380536517
2020-04-29,257.75725207387586
2020-04-30,272.9806767344505
2020-05-01,280.5945180268022
2020-05-04,265.6199164578405
2020-05-05,275.86049542040115
2020-05-06,285.77488998654775
2020-05-07,270.085535388874
2020-05-08,263.59304119073335
2020-05-11,247.70713497477223
2020-05-12,246.9812020678051
2020-05-13,258.15710884796806
2020-05-14,255.49772809591053
2020-05-15,260.36911417508475
2020-05-18,251.53846457519128
2020-05-19,247.74483032682681
