Date,APD
2020-01-01,457.68716438752904
2020-01-02,448.07268080721144
2020-01-03,439.5915430434757
2020-01-06,434.4324854899938
2020-01-07,424.26044586554883
2020-01-08,430.38512373902245
2020-01-09,421.64917675317474
2020-01-10,418.8114008733864
2020-01-13,417.60802365630406
2020-01-14,434.15221596606125
2020-01-15,437.14141447483973
2020-01-16,435.556678650814
2020-01-17,442.276429357916
2020-01-20,429.3767235918623
2020-01-21,419.15408205694035
2020-01-22,431.10556154916816
2020-01-23,442.0928385732326
2020-01-24,440.1614756413012
2020-01-27,455.5396166597248
2020-01-28,457.7245461711465
2020-01-29,485.5011567105846
2020-01-30,487.235819418121
2020-01-31,481.3040540882313
2020-02-03,480.82685381193954
2020-02-04,493.111421670736
2020-02-05,515.0236369107635
2020-02-06,502.7792306906564
2020-02-07,502.08559594299027
2020-02-10,489.1974036784473
2020-02-11,487.7603132720455
2020-02-12,490.69198130359655
2020-02-13,480.2192370838915
2020-02-14,483.4917341356876
2020-02-17,498.1437905369561
2020-02-18,494.9139550548342
2020-02-19,498.93462687157364
2020-02-20,496.9478645281941
2020-02-21,510.4044805503695
2020-02-24,499.2237670414073
2020-02-25,509.24946880570747
2020-02-26,504.551096365352
2020-02-27,518.7868668650113
2020-02-28,497.81664306251156
2020-03-02,506.7888272530795
2020-03-03,507.67718587600154
2020-03-04,513.9178011581437
2020-03-05,517.9945804688125
2020-03-06,526.4950980366904
2020-03-09,529.5027300934926
2020-03-10,545.8706071319551
2020-03-11,531.3932618640276
2020-03-12,517.1568717623721
2020-03-13,521.6030856431477
2020-03-16,534.4060692329807
2020-03-17,521.2443031177451
2020-03-18,523.8679072522337
2020-03-19,521.172876068804
2020-03-20,531.0427880188331
2020-03-23,516.6167003821308
2020-03-24,522.6285072925076
2020-03-25,487.4213227488885
2020-03-26,492.311117123072
2020-03-27,488.9273811918122
2020-03-30,498.7668809740065
2020-03-31,502.071531184783
2020-04-01,515.137835634749
2020-04-02,519.1845203006693
2020-04-03,508.6207772098906
2020-04-06,518.3172315746253
2020-04-07,532.9267251005354
2020-04-08,535.4930371141313
2020-04-09,546.7488274832627
2020-04-10,549.7603565679029
2020-04-13,529.1854977654823
2020-04-14,527.3051776449859
2020-04-15,524.0057426006665
2020-04-16,514.5484122795858
2020-04-17,538.0401708041046
2020-04-20,544.7830643654836
2020-04-21,526.0050285610098
2020-04-22,506.44070362694805
2020-04-23,497.0930956059314
2020-04-24,494.3804078815929
2020-04-27,486.90686158985153
2020-04-28,497.3802400976502
2020-04-29,497.6054492552976
2020-04-30,499.7231332424638
2020-05-01,505.8387267505988
2020-05-04,495.8617987168053
2020-05-05,501.1700517638239
2020-05-06,499.88668977226695
2020-05-07,491.4013943829667
2020-05-08,484.88715965918345
2020-05-11,502.1017504818923
2020-05-12,520.4861772247376
2020-05-13,517.2591217477427
2020-05-14,517.3247587523789
2020-05-15,528.5056777103122
2020-05-18,528.4400626853507
2020-05-19,511.5619311974895
2020-05-20,508.44157264135424
2020-05-21,500.7771189848525
2020-05-22,488.540276892655
2020-05-25,485.771626266347
2020-05-26,499.049889440929
2020-05-27,498.4952331724648
2020-05-28,490.22195120247744
2020-05-29,493.99397088353237
2020-06-01,501.22143376632647
2020-06-02,495.44538559394636
2020-06-03,507.0130404328475
2020-06-04,484.6662224877024
