Date,TMO
2020-01-01,395.1951604982423
2020-01-02,403.13312562787604
2020-01-03,389.7096734759802
2020-01-06,378.90920007591586
2020-01-07,382.0823966337208
2020-01-08,378.1129653318799
2020-01-09,380.18129283050524
2020-01-10,399.17014906737694
2020-01-13,381.99951933609395
2020-01-14,380.14687446701384
2020-01-15,401.654455411271
2020-01-16,399.5891183758293
2020-01-17,396.9122001280565
2020-01-20,400.7530889639684
2020-01-21,407.1133313313614
2020-01-22,407.2825981837124
2020-01-23,405.65885372712324
2020-01-24,411.7695340067968
2020-01-27,405.7055659411604
2020-01-28,406.0693104002473
2020-01-29,391.20190639005466
2020-01-30,386.2735069465662
2020-01-31,385.7753919279497
2020-02-03,384.4914859265297
2020-02-04,377.0315740244148
2020-02-05,393.47711924655874
2020-02-06,393.6934353497535
2020-02-07,398.7722780424183
2020-02-10,391.5439805085825
2020-02-11,403.5777376067506
2020-02-12,404.8520309313222
2020-02-13,399.1375921600628
2020-02-14,381.4406367183934
2020-02-17,380.6067537182932
2020-02-18,374.34799460901917
2020-02-19,386.75798114819594
2020-02-20,396.3819075553245
2020-02-21,407.7106183231401
2020-02-24,400.27201349881534
2020-02-25,400.88586612159315
2020-02-26,408.34442000063643
2020-02-27,413.49558183074606
2020-02-28,406.85856268904234
2020-03-02,411.1230336052645
2020-03-03,417.71286402890865
2020-03-04,406.6166215579404
2020-03-05,401.1992229082438
2020-03-06,413.48330805857563
2020-03-09,405.12139938908643
2020-03-10,409.1002820012875
2020-03-11,416.8005496123776
2020-03-12,424.77258619853717
2020-03-13,412.2152759765505
2020-03-16,397.27481431733895
2020-03-17,398.53551406037474
2020-03-18,381.3081387066855
2020-03-19,372.92530529000754
2020-03-20,378.7530537260181
2020-03-23,376.64643166197436
2020-03-24,368.6783203757195
2020-03-25,366.39855680782756
2020-03-26,371.97344230634184
2020-03-27,388.62913515948514
2020-03-30,377.7722988660297
2020-03-31,378.2117136023428
2020-04-01,385.74283778467554
2020-04-02,392.8994873906055
2020-04-03,404.4184002690201
2020-04-06,412.81713133499545
2020-04-07,394.44126686836853
2020-04-08,393.4299167760943
2020-04-09,389.96650718548875
2020-04-10,381.0978156856267
2020-04-13,383.5685493464752
2020-04-14,383.7723413830845
2020-04-15,391.51594854870797
2020-04-16,384.01206450383916
2020-04-17,375.4319360789475
2020-04-20,377.6706803786114
2020-04-21,386.0154007324555
2020-04-22,393.81996322371003
2020-04-23,393.33202775704814
2020-04-24,384.4100255509677
2020-04-27,375.4545217798798
2020-04-28,373.4552767391823
2020-04-29,368.747849763337
2020-04-30,374.8045867900361
2020-05-01,381.42510425640916
2020-05-04,377.6562627053952
2020-05-05,375.8028461874926
2020-05-06,379.39901956151806
2020-05-07,384.1299592716193
2020-05-08,371.3047805511382
2020-05-11,370.9958839037344
2020-05-12,367.2236879980641
2020-05-13,353.626364962385
2020-05-14,353.9703316058791
2020-05-15,366.7727978879426
2020-05-18,372.7281694219294
2020-05-19,364.0781065557329
2020-05-20,363.7644848724307
2020-05-21,356.63787035979
2020-05-22,351.9365197777246
2020-05-25,369.92363856129464
2020-05-26,366.646027314987
2020-05-27,368.38115661871177
2020-05-28,367.06651692985037
2020-05-29,368.59943499443034
2020-06-01,368.8982514530974
2020-06-02,371.77968475127324
2020-06-03,371.4507687255372
2020-06-04,374.98464932612325
2020-06-05,363.45298880126165
2020-06-08,360.6325212836157
2020-06-09,365.9698031890409
2020-06-10,373.7269140944082
2020-06-11,374.0148351502532
2020-06-12,363.59610708058176
2020-06-15,363.7686156354485
2020-06-16,351.229793859529
2020-06-17,344.5051961913261
2020-06-18,336.86272686452367
2020-06-19,336.0859911358315
2020-06-22,337.752832803624
2020-06-23,336.2901958856747
2020-06-24,336.4168091431366
2020-06-25,347.0803045460532
2020-06-26,351.34959164842445
2020-06-29,342.37987556569
2020-06-30,345.04334971015896
2020-07-01,346.97989153724865
2020-07-02,347.3768464003617
2020-07-03,343.5660357422115
2020-07-06,350.49203763643015
2020-07-07,351.3179908646892
2020-07-08,356.72544711520175
2020-07-09,361.18381144203727
2020-07-10,362.03210872067416
2020-07-13,355.07165524951097
2020-07-14,346.9316472314327
2020-07-15,349.3999258229255
2020-07-16,345.33422208881217
2020-07-17,356.33623469313716
2020-07-20,352.55449567591603
2020-07-21,352.25341903799665
2020-07-22,355.1822458788898
2020-07-23,355.1632837690085
2020-07-24,359.2323868001056
2020-07-27,339.82158444965773
2020-07-28,339.14770746279794
2020-07-29,335.4066776416521
2020-07-30,329.7952698563709
2020-07-31,339.1812364796405
2020-08-03,338.75952561545574
2020-08-04,341.1061561025258
2020-08-05,347.5702357423731
2020-08-06,343.20836775953893
2020-08-07,339.824479208255
2020-08-10,337.62627756582407
2020-08-11,343.79274772783594
2020-08-12,355.23603783494667
2020-08-13,364.00743598198653
2020-08-14,368.2053948189897
2020-08-17,359.66003179821365
2020-08-18,359.2613906587447
2020-08-19,367.2379256694696
2020-08-20,369.8721336940774
2020-08-21,378.01367629450857
2020-08-24,363.8938031278703
2020-08-25,376.3529294054194
2020-08-26,386.52004680558616
2020-08-27,378.9119429165281
2020-08-28,370.0656849898292
2020-08-31,362.78200715266905
2020-09-01,374.18987503131905
2020-09-02,386.4905138797889
2020-09-03,378.6446958767586
2020-09-04,366.18621169040455
2020-09-07,361.38189394130023
2020-09-08,367.51354331546196
2020-09-09,366.0282748563796
2020-09-10,363.98345404859333
2020-09-11,359.67093413728463
2020-09-14,363.3734976363831
2020-09-15,360.5334024817936
2020-09-16,366.37919378895947
2020-09-17,373.88389486305806
2020-09-18,380.24902340003285
2020-09-21,393.627141606862
2020-09-22,388.8448874423426
2020-09-23,376.68842735586963
2020-09-24,370.35719400856175
2020-09-25,378.01788210110976
2020-09-28,365.70875334618404
2020-09-29,364.65449508656775
2020-09-30,369.77377484558093
2020-10-01,374.06649185869213
2020-10-02,376.473569420686
2020-10-05,366.9150463661754
2020-10-06,377.9404256697066
2020-10-07,388.0531467939378
2020-10-08,390.6058804844473
2020-10-09,389.8200918981877
2020-10-12,390.47640088864927
2020-10-13,381.58842645919026
2020-10-14,379.3403253871735
2020-10-15,373.9818346394876
2020-10-16,384.1281444201264
2020-10-19,388.04473282777053
2020-10-20,395.822345033289
2020-10-21,388.8448749301696
2020-10-22,404.6891240943744
2020-10-23,409.53018947748177
2020-10-26,418.2715197578831
2020-10-27,424.59457123289064
2020-10-28,418.5732735833649
2020-10-29,417.2838551055514
2020-10-30,426.3168386606763
2020-11-02,432.7960166023741
2020-11-03,428.8464279510289
2020-11-04,448.9476808940199
2020-11-05,453.5824356795603
2020-11-06,439.6598050902746
2020-11-09,432.50688952470307
2020-11-10,425.91495871019856
2020-11-11,442.1374581415848
2020-11-12,431.25770738281153
2020-11-13,441.087136441168
2020-11-16,454.0607601195527
2020-11-17,442.1128280675044
2020-11-18,448.52974523877594
2020-11-19,468.7948020961607
2020-11-20,460.6772199789534
2020-11-23,445.1651805310555
2020-11-24,449.1103278852736
2020-11-25,464.4894793159157
2020-11-26,457.3195290567773
2020-11-27,462.2665245562673
2020-11-30,460.36820987010844
2020-12-01,451.5737398374722
2020-12-02,440.4184400464765
2020-12-03,449.30181412475457
2020-12-04,451.90251693658837
2020-12-07,449.55129626921786
2020-12-08,453.0486724891601
2020-12-09,460.2545286058545
2020-12-10,462.777111794118
2020-12-11,455.5036484066287
2020-12-14,443.4416554325988
2020-12-15,453.8647887258033
2020-12-16,445.4536705590653
2020-12-17,450.7273871275487
