Date,XOM
2020-01-01,231.5259802881966
2020-01-02,229.90560568006876
2020-01-03,229.09824703626225
2020-01-06,229.46808881489645
2020-01-07,229.5700257774124
2020-01-08,231.4945589447927
2020-01-09,234.70488007196985
2020-01-10,236.11793988019397
2020-01-13,238.258726704348
2020-01-14,239.28480049262475
2020-01-15,240.8912370783959
2020-01-16,239.05376387483437
2020-01-17,239.56003890007247
2020-01-20,241.647801590085
2020-01-21,240.32135616433013
2020-01-22,238.54362007800773
2020-01-23,241.18123258705774
2020-01-24,241.76199603522687
2020-01-27,241.95633353285527
2020-01-28,237.7915732619792
2020-01-29,236.62060978160386
2020-01-30,243.18449386815306
2020-01-31,245.6850895207717
2020-02-03,248.03890504224498
2020-02-04,247.65017607933066
2020-02-05,247.13257139913915
2020-02-06,247.6801047817013
2020-02-07,243.38610229383366
2020-02-10,243.9053796168357
2020-02-11,248.14909416511904
2020-02-12,250.1447654843606
2020-02-13,251.64678248349543
2020-02-14,253.63676422803243
2020-02-17,252.09617026611267
2020-02-18,253.6082063944299
2020-02-19,251.29254574449854
2020-02-20,258.0092036223307
2020-02-21,256.02036579230673
2020-02-24,258.9116906686028
2020-02-25,263.74659384415594
2020-02-26,266.1953974885688
2020-02-27,263.40480492077745
2020-02-28,256.81149102281444
2020-03-02,254.06635771961126
2020-03-03,254.82557688783953
2020-03-04,259.01534610325245
2020-03-05,251.689990931949
2020-03-06,258.81446206561924
2020-03-09,257.78183189248165
2020-03-10,257.8658738247517
2020-03-11,253.1953259869437
2020-03-12,252.39449863478976
2020-03-13,248.15025277915686
2020-03-16,248.52462156407782
2020-03-17,250.21154004633655
2020-03-18,249.27251039619182
2020-03-19,249.8285009581149
2020-03-20,254.445766537259
2020-03-23,257.3330434266329
2020-03-24,255.41191881253516
2020-03-25,255.15620102149825
2020-03-26,258.526660241506
2020-03-27,256.5980986042906
2020-03-30,257.42536773109794
2020-03-31,257.43618300900675
2020-04-01,258.2275668534402
2020-04-02,262.39828971462083
2020-04-03,263.7926937000471
2020-04-06,263.02838368181466
2020-04-07,270.6644634344591
2020-04-08,271.3049188249153
2020-04-09,272.5348230167482
2020-04-10,275.315354214009
2020-04-13,274.38258187116537
2020-04-14,277.9396326518539
2020-04-15,274.7414240045386
2020-04-16,275.179130709038
2020-04-17,277.5801796238827
2020-04-20,273.1737960924287
2020-04-21,269.64889260700426
2020-04-22,269.64964491943044
2020-04-23,270.5413925554189
2020-04-24,269.8577608754713
2020-04-27,272.5736340729641
2020-04-28,270.5406806034045
2020-04-29,274.0463538349712
2020-04-30,272.2118685690146
2020-05-01,276.444839480586
2020-05-04,272.11592114842813
2020-05-05,274.5991851785552
2020-05-06,275.4907406711842
2020-05-07,272.1388207845838
2020-05-08,267.9554430549393
2020-05-11,265.7573493481078
2020-05-12,263.0863694959984
2020-05-13,262.40662112770934
2020-05-14,264.08631353070524
2020-05-15,260.1822207774424
2020-05-18,262.2565284599863
2020-05-19,261.687750905391
2020-05-20,262.31512333291806
2020-05-21,259.45280511728606
2020-05-22,261.5212228416863
2020-05-25,262.2323645938647
2020-05-26,261.7785522108504
2020-05-27,265.870284584827
2020-05-28,269.5335726777529
2020-05-29,266.6102097471646
2020-06-01,266.8157194287273
2020-06-02,262.07029283681726
2020-06-03,262.66032229024114
2020-06-04,257.8851150538335
2020-06-05,262.68884079591504
2020-06-08,260.19432261952255
2020-06-09,264.5909230175192
2020-06-10,266.903531261952
2020-06-11,263.136792265825
2020-06-12,258.9177869504028
2020-06-15,258.98329355567836
2020-06-16,261.6321797265276
2020-06-17,257.3992300356752
2020-06-18,255.2539381487889
2020-06-19,260.11470722355114
2020-06-22,257.18562350093333
2020-06-23,258.8151838369671
2020-06-24,260.6101548651762
2020-06-25,260.5731158821508
2020-06-26,263.0796495309545
2020-06-29,265.6929460137239
2020-06-30,272.96464520494624
2020-07-01,277.4502267407399
2020-07-02,280.5077599716342
2020-07-03,280.41333995641645
2020-07-06,279.54248121717006
2020-07-07,280.9539691707492
2020-07-08,279.3595969575094
2020-07-09,285.00964547011574
2020-07-10,282.42641329549014
2020-07-13,280.70110240723636
2020-07-14,275.5571509972942
2020-07-15,277.70401228189
2020-07-16,274.02990598104685
2020-07-17,278.91791428320596
2020-07-20,278.66478355123314
2020-07-21,277.73673237131624
2020-07-22,274.70194271326176
2020-07-23,269.83095785311133
2020-07-24,277.161870996196
2020-07-27,276.81474424675406
2020-07-28,276.5785602171897
2020-07-29,274.9039635891299
2020-07-30,276.627783825241
