Date,ANET
2020-01-01,132.1628219274344
2020-01-02,132.03419863841992
2020-01-03,134.81878174364195
2020-01-06,131.59185567041033
2020-01-07,131.1851820746376
2020-01-08,133.81404667729439
2020-01-09,135.85215822407227
2020-01-10,138.94416619277825
2020-01-13,141.7282167138206
2020-01-14,141.01724901280468
2020-01-15,138.89929426501
2020-01-16,140.45443206432915
2020-01-17,140.5834279848653
2020-01-20,137.89228116532743
2020-01-21,136.50532599071246
2020-01-22,136.82735027759367
2020-01-23,137.0466095459944
2020-01-24,137.35432695278445
2020-01-27,130.98782806711247
2020-01-28,134.84872600344798
2020-01-29,136.46416997431677
2020-01-30,143.07310080445538
2020-01-31,142.26176900805612
2020-02-03,140.13066719553925
2020-02-04,138.81330061477135
2020-02-05,138.55176551759232
2020-02-06,131.35827083108794
2020-02-07,129.75575589762875
2020-02-10,129.400192986635
2020-02-11,130.46575107618298
2020-02-12,127.66613415195873
2020-02-13,124.54454332261328
2020-02-14,122.59269550678471
2020-02-17,117.79171837472231
2020-02-18,116.1341627694781
2020-02-19,113.42743974456509
2020-02-20,114.09518186446181
2020-02-21,114.14255897175835
2020-02-24,111.76754056238894
2020-02-25,111.59647328566467
2020-02-26,110.4311963235376
2020-02-27,109.3260844094763
2020-02-28,105.12977514199382
2020-03-02,105.83497835309457
2020-03-03,110.79103235681585
2020-03-04,106.59076032987494
2020-03-05,104.40341032571531
2020-03-06,106.08460986728319
2020-03-09,106.42538575788525
2020-03-10,107.14523364631538
2020-03-11,106.58378252391847
2020-03-12,110.10273212763057
2020-03-13,110.44189221342036
2020-03-16,108.42843935424997
2020-03-17,111.39825933173327
2020-03-18,108.54556306809542
2020-03-19,107.52870293541366
2020-03-20,107.8501505046614
2020-03-23,106.83403868509104
2020-03-24,108.22352432187284
2020-03-25,106.61155570971208
2020-03-26,107.59362412029782
2020-03-27,110.70811164524882
2020-03-30,111.83176903279114
2020-03-31,106.92747014261599
2020-04-01,108.33390957545981
2020-04-02,108.29831265178693
2020-04-03,108.2340468555876
2020-04-06,111.48182339316436
2020-04-07,111.57732195424755
2020-04-08,112.3594941703297
2020-04-09,111.4083677385232
2020-04-10,109.34710255195108
2020-04-13,110.81313440971132
2020-04-14,111.41384029269969
2020-04-15,115.78948640345324
2020-04-16,116.04655502053362
2020-04-17,115.51862138477195
2020-04-20,114.11342830680614
2020-04-21,119.31257948520597
2020-04-22,116.36538984005215
2020-04-23,115.56101059502389
2020-04-24,119.43186180212193
2020-04-27,121.13733096397608
2020-04-28,118.98142579336887
2020-04-29,117.2904847147613
2020-04-30,121.27411778540963
2020-05-01,124.68645625710954
2020-05-04,125.34798102669832
2020-05-05,126.39877668758363
2020-05-06,126.18379612131612
2020-05-07,123.08157984813711
2020-05-08,124.26839681441676
2020-05-11,125.96195962196427
2020-05-12,130.13065326422443
2020-05-13,132.6580023429656
2020-05-14,131.48566379890937
2020-05-15,127.70457499945357
2020-05-18,130.23830704503735
