Date,ECL
2020-01-01,257.089041184781
2020-01-02,257.80290081581757
2020-01-03,251.91972567504655
2020-01-06,246.63728163662702
2020-01-07,246.25290094081637
2020-01-08,245.09293201512804
2020-01-09,238.1556816383217
2020-01-10,238.11493876862562
2020-01-13,235.6247457722538
2020-01-14,237.8038513798309
2020-01-15,226.61084589044086
2020-01-16,234.279460889238
2020-01-17,228.12225469606292
2020-01-20,227.2583399848855
2020-01-21,230.14146977480797
2020-01-22,238.5112356749729
2020-01-23,237.93615593387537
2020-01-24,244.42265621328775
2020-01-27,252.0102705886674
2020-01-28,253.28670046250474
2020-01-29,251.1751465818659
2020-01-30,270.358035083338
2020-01-31,270.2840646805794
2020-02-03,269.96858312532106
2020-02-04,262.14627004965683
2020-02-05,261.5814743838728
2020-02-06,257.0078433703593
2020-02-07,263.26203625552296
2020-02-10,265.7401747479962
2020-02-11,266.03624260743334
2020-02-12,272.3941481333594
2020-02-13,273.97016738042043
2020-02-14,263.70168520201355
2020-02-17,264.7625427722653
2020-02-18,272.730604241938
2020-02-19,265.0598521832243
2020-02-20,257.5035013888679
2020-02-21,256.23609582309496
2020-02-24,251.43870596969484
2020-02-25,251.52986087313107
2020-02-26,254.9194987824877
2020-02-27,257.03906982692195
2020-02-28,255.53280536790288
2020-03-02,261.37440625475637
2020-03-03,257.8714550784317
2020-03-04,260.10097599887297
2020-03-05,268.819523020251
2020-03-06,252.00509928354293
2020-03-09,252.13450687561547
2020-03-10,249.99506707070427
2020-03-11,246.5822435919308
2020-03-12,249.00656975524555
2020-03-13,241.918869895628
2020-03-16,242.17920145213074
2020-03-17,240.45257078841664
2020-03-18,226.8473619244188
2020-03-19,231.63143293658447
2020-03-20,227.4461132714855
2020-03-23,230.59498202356264
2020-03-24,236.13296133899888
2020-03-25,227.68614282122942
2020-03-26,230.09575261638895
2020-03-27,217.34348185224513
2020-03-30,213.98643507301378
2020-03-31,209.16218387977466
2020-04-01,208.0109942903188
2020-04-02,207.60123131532123
2020-04-03,207.8361981940387
2020-04-06,207.34035404461162
2020-04-07,213.38891846075055
2020-04-08,214.6657190028275
2020-04-09,209.75762054032012
2020-04-10,208.56744565540674
2020-04-13,205.7924144918229
2020-04-14,209.37882441070275
2020-04-15,202.82173812475853
2020-04-16,192.44934648858833
2020-04-17,194.92782154943612
2020-04-20,198.12234337477148
2020-04-21,191.318436750515
2020-04-22,183.58217380675794
2020-04-23,182.37581276121557
2020-04-24,191.66834175878074
2020-04-27,193.23148505015155
2020-04-28,187.61072398058027
2020-04-29,193.031841699705
2020-04-30,194.37956331818913
2020-05-01,191.8383319872987
2020-05-04,194.4416418577982
2020-05-05,184.893521827683
2020-05-06,188.89070923813532
2020-05-07,190.6507135181795
2020-05-08,190.01757798463123
2020-05-11,197.47531407243622
2020-05-12,203.36469315010513
2020-05-13,196.04556724354256
2020-05-14,188.81060263731857
2020-05-15,195.71732902235286
2020-05-18,200.45346644084393
2020-05-19,203.24445115584572
2020-05-20,209.8950770632128
2020-05-21,202.73738451108227
2020-05-22,201.69659836013574
2020-05-25,196.5069380065687
2020-05-26,190.62860684812594
2020-05-27,199.83567147598976
2020-05-28,193.62837600203488
2020-05-29,188.45946797763133
2020-06-01,177.4297017572243
2020-06-02,177.93195146945612
2020-06-03,177.04705207496536
2020-06-04,179.72016754380186
2020-06-05,183.0486442555815
2020-06-08,189.34735484978646
2020-06-09,189.44641563924017
2020-06-10,186.96852871677476
2020-06-11,183.59567380130633
2020-06-12,180.82451521129806
2020-06-15,177.22121218369588
2020-06-16,171.75435741856717
2020-06-17,173.97264710283915
2020-06-18,170.52919676219764
2020-06-19,177.29164386735596
2020-06-22,185.2694287856741
2020-06-23,180.609255995188
2020-06-24,178.21519539646943
2020-06-25,188.37218753425822
2020-06-26,192.54897464172487
2020-06-29,190.45295750380643
2020-06-30,196.42007687883077
2020-07-01,194.2795598382493
2020-07-02,192.74133630341433
2020-07-03,197.31705775138843
2020-07-06,196.0318482150191
2020-07-07,192.30527207050366
2020-07-08,202.6136873765644
2020-07-09,198.66538167802366
2020-07-10,205.76482235458926
2020-07-13,216.7772335043351
2020-07-14,207.9457632811623
