Date,DAL
2020-01-01,69.58075732911368
2020-01-02,70.33706997547834
2020-01-03,70.48359876115839
2020-01-06,70.96227653033667
2020-01-07,71.19928965019376
2020-01-08,69.91714975429988
2020-01-09,73.47601681904399
2020-01-10,74.71790686617476
2020-01-13,74.71295845474654
2020-01-14,75.95150795368276
2020-01-15,76.42961550678635
2020-01-16,76.41752854887591
2020-01-17,75.62092062374911
2020-01-20,77.74455486320586
2020-01-21,80.01264289331074
2020-01-22,79.78494002501726
2020-01-23,80.9214349411601
2020-01-24,82.35747599391135
2020-01-27,81.89936434108543
2020-01-28,79.93589820044761
2020-01-29,79.83994138421302
2020-01-30,79.10659683708685
2020-01-31,76.86240293550001
2020-02-03,74.25931851398644
2020-02-04,73.16849296124055
2020-02-05,71.66361949142382
2020-02-06,72.32493298929623
2020-02-07,72.10212124476233
2020-02-10,72.36604622617938
2020-02-11,71.89510956216934
2020-02-12,69.78935399049209
2020-02-13,69.35944868266948
2020-02-14,70.89670378323211
2020-02-17,71.28068075117362
2020-02-18,69.97894878950375
2020-02-19,69.60853809241992
2020-02-20,69.88931313362089
2020-02-21,69.10837442900038
2020-02-24,70.27711971177202
2020-02-25,71.2890477077197
2020-02-26,71.56125559921796
2020-02-27,73.37819929868635
2020-02-28,71.2510893260693
2020-03-02,71.74211044501706
2020-03-03,70.98069345918003
2020-03-04,70.1767241470831
2020-03-05,69.43746202017573
2020-03-06,69.12623841335417
2020-03-09,67.95915341463508
2020-03-10,67.17282861430054
2020-03-11,66.99735538359852
2020-03-12,67.56428470800893
2020-03-13,65.15015340568594
2020-03-16,63.260441837979
2020-03-17,64.76915181359884
2020-03-18,66.09869036608329
2020-03-19,64.25226728053565
2020-03-20,65.87644106078277
2020-03-23,66.30211721105832
2020-03-24,66.84568014985993
2020-03-25,66.59702135507047
2020-03-26,66.61773354221269
2020-03-27,63.80880356801511
2020-03-30,64.4784146892455
2020-03-31,62.98778575266464
2020-04-01,64.47015983264683
2020-04-02,66.11384847457155
2020-04-03,64.01279980357907
2020-04-06,64.01682643442412
2020-04-07,62.95398557564195
2020-04-08,65.2396331564271
2020-04-09,64.50723921547873
2020-04-10,64.75599831355635
2020-04-13,64.53707573391645
2020-04-14,63.60484419132581
2020-04-15,64.44784077551326
2020-04-16,63.60683288378866
2020-04-17,62.96623692578255
2020-04-20,62.62512149464725
2020-04-21,61.62147660598299
2020-04-22,60.519593897758305
2020-04-23,59.07682904369275
2020-04-24,57.24987612302542
2020-04-27,56.73967313275672
2020-04-28,56.56161479943958
2020-04-29,55.74037425135423
2020-04-30,56.420991170248435
2020-05-01,56.757001822644206
2020-05-04,57.06856977295317
2020-05-05,57.7614679221208
2020-05-06,56.9055914982625
2020-05-07,56.68830051440316
2020-05-08,59.182225987616214
2020-05-11,58.77733624417181
2020-05-12,59.572229881116144
2020-05-13,58.31406118121103
2020-05-14,58.85606848190145
2020-05-15,56.73711104827997
2020-05-18,56.769726856762
2020-05-19,57.03882736043276
2020-05-20,57.30807681639383
2020-05-21,57.068446482530504
2020-05-22,55.93856955767398
2020-05-25,54.897240450948296
2020-05-26,54.238889694748806
2020-05-27,53.97708872372121
2020-05-28,53.62113626173096
2020-05-29,54.01003367933737
2020-06-01,54.235657735409454
2020-06-02,53.1105170263124
2020-06-03,53.197688507083186
2020-06-04,53.446507744297385
2020-06-05,54.4832900423541
2020-06-08,54.96235603438406
2020-06-09,54.470691765172205
2020-06-10,54.34950513469891
2020-06-11,53.15482541924555
2020-06-12,53.822182338078335
2020-06-15,54.03995945783207
2020-06-16,55.07894768227071
2020-06-17,55.82630706120945
2020-06-18,56.96865849670134
2020-06-19,57.75232943956991
2020-06-22,59.580406642077875
2020-06-23,59.70468675885485
2020-06-24,59.806335698667326
2020-06-25,60.032245994203876
2020-06-26,60.785281631798426
2020-06-29,60.83374278921889
2020-06-30,61.64247434558877
2020-07-01,61.64645443315768
2020-07-02,64.07177946573537
2020-07-03,63.26600056447234
2020-07-06,62.7916942938773
2020-07-07,60.36762592401963
2020-07-08,61.781866494452494
2020-07-09,64.29196756016863
2020-07-10,63.56505900778847
